Agent Name,Latitude,longitude
M/S Sava Medical Hall,22.57244,89.95683
New Modina Digital Studio,22.88987,89.77417
Mallick Enterprise,22.78638,89.68096
Khan Jahan Telecom,22.31333,89.84862
Abu Horayra Store,22.88987,89.77417
M/S Hasan Telecom Center,22.58227,89.66661
BIKASH TELECOM,22.58893,89.69267
Tahoshin Bkash Point,22.77442,89.71553
SRUTE ELECTRONICS,22.47071,89.60319
Raju Enterprise,22.57244,89.95683
Bijon Telecom,22.88987,89.77417
Vuiya Computer,22.88987,89.77417
BHAI BHAI VARIETIES STORE,22.79184,89.87692
Roy Enterprise,22.79184,89.87692
Kader Telecom,22.69637,89.75962
Joy Enterprise,22.58227,89.66661
Mone Mukta Mistanno,22.45366,89.84988
Borna Pharmacy,22.26376,89.8299
Mun Telecom And Gift Corner,22.45366,89.84988
Bismillah Telecom,22.69637,89.75962
OISHI STORE,22.58227,89.66661
MAA TELECOM,22.31333,89.84862
Quick And,22.70269,89.6981
Jahangir Store,22.31333,89.84862
Jewel Store,22.57244,89.95683
ROBI STORE,22.58227,89.66661
M/S FARIA MEDICAL HALL,22.47071,89.60319
Maa Electronics,22.6579,89.77002
BABU STORE,22.69637,89.75962
M/S MIM MEDICINE HOUSE,22.6579,89.77002
Jami Telecom,22.74137,89.65608
ZINIA PHARMACY,22.6579,89.77002
Zahidul Electronics,22.69637,89.75962
HIROK VARIETIES STORE,22.49521,89.64367
Ma Telecom,22.47071,89.60319
RABEYA PHARMACY,22.6579,89.77002
AL AMIN BOSTRALOY,22.45366,89.84988
Rumman Telecom,22.69637,89.75962
Popular Library,22.57244,89.95683
M/S Islam Enterprise,22.31333,89.84862
Shah Alam Store,22.31333,89.84862
MEGLA MOBILE CENTER,22.49521,89.64367
MASUM STORE,22.6579,89.77002
Ohab Tea Stall,22.31333,89.84862
M/S IQBAL PHARMACY,22.6579,89.77002
M/S Rakib Enterprise,22.57244,89.95683
M/S Jhulu And Pharmacy,22.57244,89.95683
S A SHOPPING GARDEN,22.47071,89.60319
MOSHAREF STORE,22.69637,89.75962
Ma Mobile Net,22.29992,89.84794
JANNATUL TELECOM,22.5262,89.65318
Zia Telecom,22.49428,89.59333
Saiful Enterprise,22.72263,89.74719
M/S SHAHIDUL ENTERPRISE,22.57244,89.95683
Halim Store,22.57244,89.95683
Gazi Store,22.77442,89.71553
Kishor Telecom,22.69637,89.75962
Shihab Telecom,22.58227,89.66661
MEHEDI COSMETICS,22.58227,89.66661
RANA STORE,22.57244,89.95683
Kabir Store,22.61471,89.8519
Jononi Telecom,22.58227,89.66661
SHANTA ELECTRONICS,22.6493,89.8806
Bismillah Telecom And Stationery,22.88987,89.77417
Sakib Bastra Betan,22.31333,89.84862
Dipto Telecom,22.58227,89.66661
Durbin Enterprise,22.69637,89.75962
Multi Fucnctional Computer,22.58227,89.66661
EKUSAY TELECOM,22.57244,89.95683
MAYER DOWA STORE,22.6493,89.8806
MUMIN STORE,22.31333,89.84862
BHUIYA STORE,22.88987,89.77417
Tamima Telecom,22.88987,89.77417
Rofiqul Telecom,22.88987,89.77417
S B COMPUTER TRAINING ACADEMY,22.69637,89.75962
ARIF AND BROTHERS,22.88987,89.77417
SHUVO STORE AND PHARMACY,22.6579,89.77002
SHIKDER STORE,22.88987,89.77417
KHANDAKAR STORE,22.88987,89.77417
FUJI DIGITAL STUDIO,22.58227,89.66661
AJIBUR PHEMARCY,22.88987,89.77417
Haldar Oil Zone,22.79184,89.87692
AL REZEK STORE,22.69637,89.75962
Rasel Computer,22.6579,89.77002
M/S M N Drinking Water Baraka,22.70814,89.81608
SREE GURU LIBRARY AND VARIETIES STORE,22.6493,89.8806
M A Electronics And Telecom,22.5262,89.65318
Ariyan Telecom,22.46486,89.85643
M/S Roy Store,22.6579,89.77002
MIM TELECOM AND AUTOPARTS,22.78719,89.67835
Mojahid Telecom,22.79184,89.87692
RAJU TELECOM AND VARIETIES,22.6579,89.77002
BARNIL BASTRALOY,22.79184,89.87692
M/S RUDRO DRUG HOUSE,22.26376,89.8299
